rank_2020,city,state,population_2020,population_2010,land_area_sqmi,density,one_adult_no_kids_living_wage,one_adult_one_kid_living_wage,one_adult_two_kids_living_wage,one_adult_three_kids_living_wage,two_adults_one_working_no_kids_living_wage,two_adults_one_working_one_kid_living_wage,two_adults_one_working_two_kids_living_wage,two_adults_one_working_three_kids_living_wage,two_adults_both_working_no_kids_living_wage,two_adults_both_working_one_kid_living_wage,two_adults_both_working_two_kids_living_wage,two_adults_both_working_three_kids_living_wage
44,Miami,Florida,442241,399457,36.0,12284,15.86,33.20,40.47,52.69,25.54,31.01,34.41,38.46,12.13,17.90,22.00,26.43
45,Oakland,California,440646,390724,55.9,7883,22.88,48.61,60.41,80.09,35.48,42.97,46.95,54.12,16.23,25.89,32.29,40.28
46,Minneapolis,Minnesota,429954,382578,54.0,7962,15.65,32.94,41.53,54.72,25.60,30.36,34.11,38.00,12.25,17.91,22.74,27.46
47,Tulsa,Oklahoma,413066,391906,197.5,2091,13.52,28.80,35.57,45.59,22.78,27.44,31.06,33.35,11.05,15.79,19.67,22.88
48,Bakersfield,California,403455,347483,149.8,2693,14.28,32.10,40.46,53.14,24.17,29.90,33.88,37.49,12.03,17.64,22.31,26.80
49,Wichita,Kansas,397532,382368,162.0,2454,13.10,28.11,34.76,44.69,22.26,26.86,30.50,32.81,10.80,15.44,19.27,22.44
50,Arlington,Texas,394266,365438,95.9,4111,15.00,30.51,37.35,48.03,23.84,28.74,32.14,35.07,11.50,16.56,20.44,24.10
51,Aurora,Colorado,386261,325078,160.1,2413,17.40,35.90,44.96,59.34,27.03,32.66,36.41,41.07,13.52,19.45,24.44,29.89
52,Tampa,Florida,384959,335709,114.0,3377,15.08,30.93,38.34,49.28,23.79,28.60,31.99,34.63,11.74,16.77,20.94,24.72
53,New Orleans,Louisiana,383997,343829,169.5,2265,14.84,30.94,37.57,47.61,24.99,29.77,33.42,35.86,11.74,16.87,20.68,23.89
54,Cleveland,Ohio,372624,396815,77.7,4796,13.30,29.35,37.93,50.27,22.17,26.13,29.73,31.80,10.72,16.05,20.97,25.23
55,Honolulu,Hawaii,350964,337256,60.5,5801,20.25,39.98,48.33,64.93,30.96,37.69,41.62,49.16,14.86,21.55,26.22,32.69
56,Anaheim,California,346824,336265,50.3,6895,19.22,41.55,51.30,67.56,31.01,37.96,41.94,47.75,14.62,22.36,27.73,34.01
57,Lexington,Kentucky,322570,295803,283.6,1137,13.88,29.36,36.99,48.06,22.65,27.28,30.92,33.47,11.03,16.08,20.39,24.12
58,Stockton,California,320804,291707,62.2,5158,14.88,34.00,42.76,56.50,25.23,31.39,35.37,39.63,12.15,18.58,23.46,28.48
59,Corpus Christi,Texas,317863,305215,162.2,1960,14.02,28.50,34.86,44.68,22.36,27.22,30.62,33.18,11.01,15.56,19.20,22.42
60,Henderson,Nevada,317610,257729,106.2,2991,13.77,29.19,36.89,48.83,23.12,26.98,30.53,34.14,11.06,16.01,20.30,24.62
61,Riverside,California,314998,303871,81.2,3879,15.82,34.89,43.46,56.96,26.86,32.48,36.46,40.68,12.63,19.03,23.81,28.71
62,Newark,New Jersey,311549,277140,24.1,12927,20.00,38.99,49.18,64.30,29.16,34.35,38.13,42.42,14.03,20.95,26.53,32.40
63,Saint Paul,Minnesota,311527,285068,52.0,5991,15.65,32.94,41.53,54.72,25.60,30.36,34.11,38.00,12.25,17.91,22.74,27.46
64,Santa Ana,California,310227,324528,27.3,11364,22.44,45.36,55.85,74.15,34.10,41.01,44.99,52.08,17.05,24.26,30.01,37.31
65,Cincinnati,Ohio,309317,296943,77.8,3976,13.13,28.95,37.10,49.32,21.88,26.14,29.74,32.13,10.63,15.85,20.55,24.75
66,Irvine,California,307670,212375,65.6,4690,22.44,45.36,55.85,74.15,34.10,41.01,44.99,52.08,17.05,24.26,30.01,37.31
67,Orlando,Florida,307573,238300,110.6,2781,15.44,31.05,38.29,49.19,24.34,28.88,32.28,35.03,11.92,16.83,20.91,24.68
68,Pittsburgh,Pennsylvania,302971,305704,55.4,5469,13.08,26.83,33.91,43.68,21.00,24.94,28.36,30.46,10.28,14.75,18.74,22.07
69,St. Louis,Missouri,301578,319294,61.7,4888,14.07,30.38,37.89,48.59,23.28,28.37,32.07,34.26,11.40,16.60,20.87,24.39
70,Greensboro,North Carolina,299035,269666,129.6,2307,14.19,28.86,36.22,46.65,22.84,26.95,30.59,32.69,11.29,15.83,20.01,23.41
71,Jersey City,New Jersey,292449,247597,14.7,19894,20.00,38.99,49.18,64.30,29.16,34.35,38.13,42.42,14.03,20.95,26.53,32.40
72,Anchorage,Alaska,291247,291826,1706.8,171,14.93,29.65,36.98,49.02,23.03,27.81,31.36,35.44,11.33,16.24,20.35,24.72
73,Lincoln,Nebraska,291082,258379,97.7,2979,13.86,29.77,37.26,48.49,23.29,27.83,31.57,34.30,11.48,16.31,20.58,24.34
74,Plano,Texas,285494,259841,71.7,3982,15.21,30.73,37.53,48.15,24.12,29.01,32.41,35.33,12.06,16.67,20.53,24.15
75,Durham,North Carolina,283506,228330,112.8,2513,15.22,31.24,39.95,52.16,23.70,27.98,31.62,34.16,11.80,17.02,21.87,26.17
76,Buffalo,New York,278349,261310,40.4,6890,14.39,29.52,38.00,49.06,22.67,26.74,30.44,32.44,11.23,16.20,20.94,24.78
77,Chandler,Arizona,275987,236123,65.3,4226,15.76,29.72,35.62,46.16,25.20,29.59,33.32,37.30,12.60,16.35,19.76,23.30
78,Chula Vista,California,275487,243916,49.6,5554,21.26,42.97,52.44,69.51,32.45,39.67,43.64,50.54,16.23,23.07,28.30,34.99
79,Toledo,Ohio,270871,287208,80.5,3365,12.52,27.90,35.94,47.24,21.22,25.21,28.81,30.81,10.32,15.33,19.97,23.71
80,Madison,Wisconsin,269840,233209,79.6,3390,15.51,33.32,43.10,57.15,24.77,29.05,32.77,36.03,11.89,18.08,23.49,28.67
81,Gilbert,Arizona,267918,208453,68.6,3906,15.76,29.72,35.62,46.16,25.20,29.59,33.32,37.30,12.60,16.35,19.76,23.30
82,Reno,Nevada,264165,225221,108.8,2428,13.57,28.95,36.48,48.23,22.91,26.92,30.47,34.05,10.96,15.89,20.10,24.32
83,Fort Wayne,Indiana,263886,253691,110.7,2384,13.14,26.85,32.63,41.20,21.99,26.41,29.99,31.82,10.62,14.80,18.18,20.69
84,North Las Vegas,Nevada,262527,216961,101.3,2592,13.77,29.19,36.89,48.83,23.12,26.98,30.53,34.14,11.06,16.01,20.30,24.62
85,St. Petersburg,Florida,258308,244769,61.8,4180,15.08,30.93,38.34,49.28,23.79,28.60,31.99,34.63,11.74,16.77,20.94,24.72
86,Lubbock,Texas,257141,229573,134.6,1910,12.89,26.57,32.28,41.59,21.53,25.94,29.33,32.03,10.44,14.59,17.91,20.88
87,Irving,Texas,256684,216290,67.0,3831,15.21,30.62,37.32,47.83,24.12,29.01,32.41,35.33,12.06,16.62,20.43,24.00
88,Laredo,Texas,255205,236091,106.5,2396,13.37,26.54,32.18,40.68,21.39,25.98,29.38,31.35,10.68,14.58,17.86,20.42
89,Winston–Salem,North Carolina,249545,229617,132.7,1881,13.56,28.68,36.38,47.13,22.16,26.43,30.07,32.15,10.97,15.74,20.09,23.65
90,Chesapeake,Virginia,249422,222209,338.5,737,16.33,31.67,39.23,51.23,24.57,29.51,33.12,36.61,12.28,17.22,21.49,25.70
91,Glendale,Arizona,248325,226721,61.6,4031,15.76,29.72,35.62,46.16,25.20,29.59,33.32,37.30,12.60,16.35,19.76,23.30
92,Garland,Texas,246018,226876,57.1,4309,15.21,30.62,37.32,47.83,24.12,29.01,32.41,35.33,12.06,16.62,20.43,24.00
93,Scottsdale,Arizona,241361,217385,184.0,1312,15.41,29.44,35.40,46.01,24.85,29.25,32.98,36.95,12.03,16.21,19.65,23.23
94,Norfolk,Virginia,238005,242803,53.3,4465,16.33,31.32,38.52,50.16,24.57,29.51,33.12,36.61,12.28,17.04,21.13,25.17
95,Boise,Idaho,235684,205671,84.0,2806,14.12,28.78,35.59,46.48,23.84,27.98,31.86,35.25,11.43,15.94,19.83,23.47
96,Fremont,California,230504,214089,78.3,2944,21.88,46.59,58.15,76.92,34.27,41.18,45.16,51.65,17.14,24.88,31.16,38.69
97,Spokane,Washington,228989,208916,68.8,3328,12.69,27.13,34.19,44.94,20.97,25.56,29.11,32.17,10.15,14.98,18.95,22.68
98,Santa Clarita,California,228673,176320,70.8,3230,19.35,42.41,51.91,67.54,32.08,39.06,43.03,48.44,16.04,22.79,28.04,34.00
99,Baton Rouge,Louisiana,227470,229493,86.3,2636,13.99,29.24,35.69,45.02,23.23,28.25,31.90,33.82,11.32,16.02,19.74,22.60
100,Richmond,Virginia,226610,204214,59.9,3783,15.91,30.84,38.12,49.05,24.35,28.96,32.57,35.26,12.06,16.81,20.94,24.61
